5.1 3.5 1.4 0.2 basque
4.9 3 1.4 0.2 basque
4.7 3.2 1.3 0.2 basque
4.6 3.1 1.5 0.2 basque
5 3.6 1.4 0.2 basque
5.4 3.9 1.7 0.4 basque
4.6 3.4 1.4 0.3 basque
5 3.4 1.5 0.2 basque
4.4 2.9 1.4 0.2 basque
4.9 3.1 1.5 0.1 basque
5.4 3.7 1.5 0.2 basque
4.8 3.4 1.6 0.2 basque
4.8 3 1.4 0.1 basque
4.3 3 1.1 0.1 basque
5.8 4 1.2 0.2 basque
5.7 4.4 1.5 0.4 basque
5.4 3.9 1.3 0.4 basque
5.1 3.5 1.4 0.3 basque
5.7 3.8 1.7 0.3 basque
5.1 3.8 1.5 0.3 basque
5.4 3.4 1.7 0.2 basque
5.1 3.7 1.5 0.4 basque
4.6 3.6 1 0.2 basque
5.1 3.3 1.7 0.5 basque
4.8 3.4 1.9 0.2 basque
5 3 1.6 0.2 basque
5 3.4 1.6 0.4 basque
5.2 3.5 1.5 0.2 basque
5.2 3.4 1.4 0.2 basque
4.7 3.2 1.6 0.2 basque
4.8 3.1 1.6 0.2 basque
5.4 3.4 1.5 0.4 basque
5.2 4.1 1.5 0.1 basque
5.5 4.2 1.4 0.2 basque
4.9 3.1 1.5 0.2 basque
5 3.2 1.2 0.2 basque
5.5 3.5 1.3 0.2 basque
4.9 3.6 1.4 0.1 basque
4.4 3 1.3 0.2 basque
5.1 3.4 1.5 0.2 basque
5 3.5 1.3 0.3 basque
4.5 2.3 1.3 0.3 basque
4.4 3.2 1.3 0.2 basque
5 3.5 1.6 0.6 basque
5.1 3.8 1.9 0.4 basque
4.8 3 1.4 0.3 basque
5.1 3.8 1.6 0.2 basque
4.6 3.2 1.4 0.2 basque
5.3 3.7 1.5 0.2 basque
5 3.3 1.4 0.2 basque
7 3.2 4.7 1.4 gascon
6.4 3.2 4.5 1.5 gascon
6.9 3.1 4.9 1.5 gascon
5.5 2.3 4 1.3 gascon
6.5 2.8 4.6 1.5 gascon
5.7 2.8 4.5 1.3 gascon
6.3 3.3 4.7 1.6 gascon
4.9 2.4 3.3 1 gascon
6.6 2.9 4.6 1.3 gascon
5.2 2.7 3.9 1.4 gascon
5 2 3.5 1 gascon
5.9 3 4.2 1.5 gascon
6 2.2 4 1 gascon
6.1 2.9 4.7 1.4 gascon
5.6 2.9 3.6 1.3 gascon
6.7 3.1 4.4 1.4 gascon
5.6 3 4.5 1.5 gascon
5.8 2.7 4.1 1 gascon
6.2 2.2 4.5 1.5 gascon
5.6 2.5 3.9 1.1 gascon
5.9 3.2 4.8 1.8 gascon
6.1 2.8 4 1.3 gascon
6.3 2.5 4.9 1.5 gascon
6.1 2.8 4.7 1.2 gascon
6.4 2.9 4.3 1.3 gascon
6.6 3 4.4 1.4 gascon
6.8 2.8 4.8 1.4 gascon
6.7 3 5 1.7 gascon
6 2.9 4.5 1.5 gascon
5.7 2.6 3.5 1 gascon
5.5 2.4 3.8 1.1 gascon
5.5 2.4 3.7 1 gascon
5.8 2.7 3.9 1.2 gascon
6 2.7 5.1 1.6 gascon
5.4 3 4.5 1.5 gascon
6 3.4 4.5 1.6 gascon
6.7 3.1 4.7 1.5 gascon
6.3 2.3 4.4 1.3 gascon
5.6 3 4.1 1.3 gascon
5.5 2.5 4 1.3 gascon
5.5 2.6 4.4 1.2 gascon
6.1 3 4.6 1.4 gascon
5.8 2.6 4 1.2 gascon
5 2.3 3.3 1 gascon
5.6 2.7 4.2 1.3 gascon
5.7 3 4.2 1.2 gascon
5.7 2.9 4.2 1.3 gascon
6.2 2.9 4.3 1.3 gascon
5.1 2.5 3 1.1 gascon
5.7 2.8 4.1 1.3 gascon
6.3 3.3 6 2.5 corse
5.8 2.7 5.1 1.9 corse
7.1 3 5.9 2.1 corse
6.3 2.9 5.6 1.8 corse
6.5 3 5.8 2.2 corse
7.6 3 6.6 2.1 corse
4.9 2.5 4.5 1.7 corse
7.3 2.9 6.3 1.8 corse
6.7 2.5 5.8 1.8 corse
7.2 3.6 6.1 2.5 corse
6.5 3.2 5.1 2 corse
6.4 2.7 5.3 1.9 corse
6.8 3 5.5 2.1 corse
5.7 2.5 5 2 corse
5.8 2.8 5.1 2.4 corse
6.4 3.2 5.3 2.3 corse
6.5 3 5.5 1.8 corse
7.7 3.8 6.7 2.2 corse
7.7 2.6 6.9 2.3 corse
6 2.2 5 1.5 corse
6.9 3.2 5.7 2.3 corse
5.6 2.8 4.9 2 corse
7.7 2.8 6.7 2 corse
6.3 2.7 4.9 1.8 corse
6.7 3.3 5.7 2.1 corse
7.2 3.2 6 1.8 corse
6.2 2.8 4.8 1.8 corse
6.1 3 4.9 1.8 corse
6.4 2.8 5.6 2.1 corse
7.2 3 5.8 1.6 corse
7.4 2.8 6.1 1.9 corse
7.9 3.8 6.4 2 corse
6.4 2.8 5.6 2.2 corse
6.3 2.8 5.1 1.5 corse
6.1 2.6 5.6 1.4 corse
7.7 3 6.1 2.3 corse
6.3 3.4 5.6 2.4 corse
6.4 3.1 5.5 1.8 corse
6 3 4.8 1.8 corse
6.9 3.1 5.4 2.1 corse
6.7 3.1 5.6 2.4 corse
6.9 3.1 5.1 2.3 corse
5.8 2.7 5.1 1.9 corse
6.8 3.2 5.9 2.3 corse
6.7 3.3 5.7 2.5 corse
6.7 3 5.2 2.3 corse
6.3 2.5 5 1.9 corse
6.5 3 5.2 2 corse
6.2 3.4 5.4 2.3 corse
5.9 3 5.1 1.8 corse
6.3 3.3 5.4 2.2 x
